city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hachiōji,35.6664,139.3160,Japan,JP,Tōkyō,,575721,575721
Himeji,34.8152,134.6854,Japan,JP,Hyōgo,,527596,527596
Kōtō-ku,35.6728,139.8173,Japan,JP,Tōkyō,,523419,523419
Utsunomiya,36.5551,139.8826,Japan,JP,Tochigi,admin,518197,518197
Matsuyama,33.8392,132.7656,Japan,JP,Ehime,admin,506743,506743
Matsudo,35.7876,139.9032,Japan,JP,Chiba,,497514,497514
Ichikawa,35.7284,139.9085,Japan,JP,Chiba,,492749,492749
Higashi-ōsaka,34.6794,135.6009,Japan,JP,Ōsaka,,490819,490819
Nishinomiya-hama,34.7376,135.3417,Japan,JP,Hyōgo,,487010,487010
Kawachichō,34.6964,135.6010,Japan,JP,Ōsaka,,486464,486464
Kurashiki,34.5851,133.7721,Japan,JP,Okayama,,474862,474862
Ōita,33.1883,131.5783,Japan,JP,Ōita,admin,474804,474804
Kanazawa,36.5611,136.6565,Japan,JP,Ishikawa,admin,462479,462479
Fukuyama,34.4859,133.3623,Japan,JP,Hiroshima,,459576,459576
Amagasaki,34.7338,135.4063,Japan,JP,Hyōgo,,455555,455555
Katsushika-ku,35.7434,139.8472,Japan,JP,Tōkyō,,451772,451772
Fujisawa,35.3487,139.4837,Japan,JP,Kanagawa,,439728,439728
Machida,35.5467,139.4386,Japan,JP,Tōkyō,,434414,434414
Kashiwa,35.8676,139.9758,Japan,JP,Chiba,,427603,427603
Aomori,40.8228,140.7469,Japan,JP,Aomori,admin,425962,425962
Toyota,35.0824,137.1563,Japan,JP,Aichi,,422106,422106
Takamatsu,34.3428,134.0466,Japan,JP,Kagawa,admin,417814,417814
Shinagawa-ku,35.6092,139.7302,Japan,JP,Tōkyō,,415729,415729
Toyama,36.6959,137.2137,Japan,JP,Toyama,admin,413028,413028
Nagasaki,32.7495,129.8796,Japan,JP,Nagasaki,admin,404656,404656
Gifu,35.4263,136.7594,Japan,JP,Gifu,admin,400118,400118
Toyonaka,34.7815,135.4696,Japan,JP,Ōsaka,,399263,399263
Miyazaki,31.9077,131.4202,Japan,JP,Miyazaki,admin,397476,397476
Hirakata,34.8144,135.6506,Japan,JP,Ōsaka,,396694,396694
Yokosuka,35.2813,139.6721,Japan,JP,Kanagawa,,390275,390275
Okazaki,34.9547,137.1730,Japan,JP,Aichi,,385376,385376
Minamisuita,34.7594,135.5168,Japan,JP,Ōsaka,,381238,381238
Ichinomiya,35.3039,136.8031,Japan,JP,Aichi,,378108,378108
Takasaki,36.3231,139.0024,Japan,JP,Gunma,,372639,372639
Toyohashi,34.7692,137.3915,Japan,JP,Aichi,,371507,371507
Nagano,36.6487,138.1947,Japan,JP,Nagano,admin,367184,367184
Kawagoe,35.9251,139.4858,Japan,JP,Saitama,,354598,354598
Wakayama,34.2304,135.1707,Japan,JP,Wakayama,admin,353299,353299
Kita-ku,35.7528,139.7336,Japan,JP,Tōkyō,,353058,353058
Nara,34.6850,135.8048,Japan,JP,Nara,admin,352377,352377
Shinjuku,35.6939,139.7034,Japan,JP,Tōkyō,,349385,349385
Takatsuki,34.8460,135.6173,Japan,JP,Ōsaka,,347496,347496
Nakano,35.7058,139.6664,Japan,JP,Tōkyō,,344880,344880
Ōtsu,35.0178,135.8548,Japan,JP,Shiga,admin,342607,342607
Koshigaya,35.8911,139.7909,Japan,JP,Saitama,,341784,341784
Tokorozawa,35.7994,139.4689,Japan,JP,Saitama,,341289,341289
Iwaki,37.0505,140.8877,Japan,JP,Fukushima,,336111,336111
Maebashi,36.3895,139.0634,Japan,JP,Gunma,admin,331849,331849
Asahikawa,43.7706,142.3650,Japan,JP,Hokkaidō,,331392,331392
Koriyama,37.4003,140.3597,Japan,JP,Fukushima,,327040,327040
Kōchi,33.5588,133.5312,Japan,JP,Kōchi,admin,325535,325535
Naha,26.2122,127.6792,Japan,JP,Okinawa,admin,316048,316048
Yokkaichi,34.9650,136.6244,Japan,JP,Mie,,310263,310263
Kasugai,35.2475,136.9722,Japan,JP,Aichi,,306449,306449
Akita,39.7199,140.1026,Japan,JP,Akita,admin,302984,302984
Kurume,33.3036,130.5656,Japan,JP,Fukuoka,,302858,302858
Ōakashichō,34.6431,134.9972,Japan,JP,Hyōgo,,299699,299699
Toshima,35.7261,139.7167,Japan,JP,Tōkyō,,297954,297954
Morioka,39.7455,141.2691,Japan,JP,Iwate,admin,290553,290553
Sumida,35.7342,139.8185,Japan,JP,Tōkyō,,287766,287766
Fukushima,37.7608,140.4747,Japan,JP,Fukushima,admin,284282,284282
Ibaraki,34.8164,135.5686,Japan,JP,Ōsaka,,283835,283835
Meguro,35.6414,139.6981,Japan,JP,Tōkyō,,282607,282607
Tsu,34.7184,136.5058,Japan,JP,Mie,admin,273267,273267
Mito,36.3658,140.4712,Japan,JP,Ibaraki,admin,270823,270823
Ichihara,35.4981,140.1154,Japan,JP,Chiba,,268038,268038
Nagaoka,37.4453,138.8567,Japan,JP,Niigata,,265868,265868
Yao,34.6269,135.6009,Japan,JP,Nara,,263436,263436
Fukui,36.0641,136.2196,Japan,JP,Fukui,admin,261474,261474
Fuchū,35.6689,139.4777,Japan,JP,Tōkyō,,260508,260508
Minato,35.6580,139.7515,Japan,JP,Tōkyō,,260486,260486
Hiratsuka,35.3355,139.3494,Japan,JP,Kanagawa,,257662,257662
Kakogawachō-honmachi,34.7659,134.8369,Japan,JP,Hyōgo,,255523,255523
Tokushima,34.0703,134.5549,Japan,JP,Tokushima,admin,254510,254510
Shinozaki,33.9579,130.9413,Japan,JP,Fukuoka,,252844,252844
Hakodate,41.7687,140.7289,Japan,JP,Hokkaidō,,251891,251891
Sōka,35.8254,139.8053,Japan,JP,Saitama,,251390,251390
Yamagata,38.2554,140.3396,Japan,JP,Yamagata,admin,247234,247234
Tsukuba-kenkyūgakuen-toshi,36.0835,140.0764,Japan,JP,Ibaraki,,246647,246647
Fuji,35.1613,138.6763,Japan,JP,Shizuoka,,243739,243739
Sasebo,33.1800,129.7150,Japan,JP,Nagasaki,,242664,242664
Chigasaki,35.3339,139.4047,Japan,JP,Kanagawa,,242347,242347
Bunkyō-ku,35.7080,139.7523,Japan,JP,Tōkyō,,240069,240069
Yato,35.4875,139.4580,Japan,JP,Kanagawa,,239146,239146
Matsumoto,36.2380,137.9720,Japan,JP,Nagano,,239115,239115
Chōfugaoka,35.6506,139.5407,Japan,JP,Tōkyō,,238087,238087
Shibuya-ku,35.6637,139.6977,Japan,JP,Tōkyō,,235193,235193
Saga,33.2635,130.3008,Japan,JP,Saga,admin,232359,232359
Yoshiichō-shimobaru,33.2687,129.6869,Japan,JP,Nagasaki,,230873,230873
Kasukabe,35.9753,139.7523,Japan,JP,Saitama,,228975,228975
Neya,34.7661,135.6281,Japan,JP,Ōsaka,,227997,227997
Ageoshimo,35.9774,139.5932,Japan,JP,Saitama,,226616,226616
Ōta,36.2172,139.3513,Japan,JP,Gunma,,224358,224358
Atsugichō,35.4431,139.3625,Japan,JP,Kanagawa,,223815,223815
Hachinohe,40.5123,141.4884,Japan,JP,Aomori,,222799,222799
Takarazuka,34.7998,135.3601,Japan,JP,Hyōgo,,221846,221846
Arakawa,35.7361,139.7834,Japan,JP,Tōkyō,,217891,217891
Isesaki,36.3209,139.1982,Japan,JP,Gunma,,213303,213303
Kure,34.2492,132.5657,Japan,JP,Hiroshima,,212159,212159
Taitō,35.7126,139.7800,Japan,JP,Tōkyō,,212038,212038
Nagareyama,35.8556,139.8986,Japan,JP,Chiba,,211620,211620
Nishitōkyō,35.7256,139.5383,Japan,JP,Tōkyō,,207436,207436
Matsue,35.4681,133.0485,Japan,JP,Shimane,admin,201802,201802
Yachiyo,35.7224,140.0999,Japan,JP,Chiba,,200538,200538
Higashi-Hiroshima,34.4264,132.7433,Japan,JP,Hiroshima,,197347,197347
Itami,34.7829,135.4162,Japan,JP,Hyōgo,,197215,197215
Kodaira,35.7285,139.4774,Japan,JP,Tōkyō,,196959,196959
Suzuka,34.8820,136.5842,Japan,JP,Mie,,195250,195250
Kamirenjaku,35.6836,139.5595,Japan,JP,Tōkyō,,194460,194460
Kumagaya,36.1474,139.3886,Japan,JP,Saitama,,193190,193190
Yamaguchi,34.1782,131.4735,Japan,JP,Yamaguchi,admin,191470,191470
Hino,35.6713,139.3951,Japan,JP,Tōkyō,,190598,190598
Odawara,35.2646,139.1522,Japan,JP,Kanagawa,,189038,189038
Anjōmachi,34.9587,137.0803,Japan,JP,Aichi,,188801,188801
Kishiwada,34.4605,135.3709,Japan,JP,Ōsaka,,188015,188015
Numazu,35.0956,138.8634,Japan,JP,Shizuoka,,187653,187653
Tottori,35.4944,134.2216,Japan,JP,Tottori,,187323,187323
Jōetsu,37.1479,138.2361,Japan,JP,Niigata,,187291,187291
Kōfu,35.6621,138.5682,Japan,JP,Yamanashi,admin,187144,187144
Izuo,34.4832,135.4232,Japan,JP,Ōsaka,,184299,184299
Toyokawa,34.8241,137.3944,Japan,JP,Aichi,,183930,183930
Tachikawa,35.7139,139.4079,Japan,JP,Tōkyō,,181115,181115
Uji,34.8844,135.7998,Japan,JP,Kyōto,,179626,179626
Narashino,35.6813,140.0266,Japan,JP,Chiba,,174990,174990
Sakura,35.7192,140.2296,Japan,JP,Chiba,,173740,173740
Kamakurayama,35.3192,139.5472,Japan,JP,Kanagawa,,172929,172929
Hitachi,36.5991,140.6515,Japan,JP,Ibaraki,,172709,172709
Izumo,35.3670,132.7547,Japan,JP,Shimane,,171995,171995
Tomakomai,42.6341,141.6055,Japan,JP,Hokkaidō,,170223,170223
Urayasu,35.6531,139.9020,Japan,JP,Chiba,,169749,169749
Chūō-ku,35.6706,139.7720,Japan,JP,Tōkyō,,169179,169179
Nishio,34.8618,137.0618,Japan,JP,Aichi,,168992,168992
Hirosaki,40.6031,140.4638,Japan,JP,Aomori,,167803,167803
Oyama,36.3145,139.8001,Japan,JP,Tochigi,,167647,167647
Niiza,35.7935,139.5653,Japan,JP,Saitama,,165997,165997
Takaoka,36.7541,137.0257,Japan,JP,Toyama,,165880,165880
Kushiro,42.9849,144.3817,Japan,JP,Hokkaidō,,165699,165699
Iwata,34.7179,137.8515,Japan,JP,Shizuoka,,165688,165688
Obihiro,42.9240,143.1961,Japan,JP,Hokkaidō,,165684,165684
Hadano,35.3747,139.2201,Japan,JP,Kanagawa,,164292,164292
Ube,33.9516,131.2467,Japan,JP,Yamaguchi,,162873,162873
Miyakonojō,31.7195,131.0617,Japan,JP,Miyazaki,,160392,160392
Matsuzaka,34.5779,136.5276,Japan,JP,Mie,,158472,158472
Ōgaki,35.3647,136.6019,Japan,JP,Gifu,,158386,158386
Hitachi-Naka,36.3967,140.5347,Japan,JP,Ibaraki,,155680,155680
Daiwanishi,34.8892,135.4167,Japan,JP,Hyōgo,,155165,155165
Noda,35.9463,139.8589,Japan,JP,Chiba,,154114,154114
Tochigi,36.3824,139.7341,Japan,JP,Tochigi,,153508,153508
Kariya,34.9893,137.0021,Japan,JP,Aichi,,153178,153178
Ueda,36.4019,138.2491,Japan,JP,Nagano,,152948,152948
Imabari,34.0661,132.9977,Japan,JP,Ehime,,152111,152111
Kawashiri,34.8794,135.4092,Japan,JP,Ōsaka,,152076,152076
Higashimurayama,35.7546,139.4685,Japan,JP,Tōkyō,,150458,150458
Kukichūō,36.0621,139.6668,Japan,JP,Saitama,,150197,150197
Musashino,35.7177,139.5661,Japan,JP,Tōkyō,,148971,148971
Sayama,35.8530,139.4122,Japan,JP,Saitama,,148474,148474
Komaki,35.2903,136.9110,Japan,JP,Aichi,,147897,147897
Tama,35.6369,139.4463,Japan,JP,Tōkyō,,147252,147252
Yonago,35.4282,133.3309,Japan,JP,Tottori,,147210,147210
Iruma,35.8358,139.3911,Japan,JP,Saitama,,145303,145303
Asaka,35.7972,139.5939,Japan,JP,Saitama,,143915,143915
Kakamigahara,35.3988,136.8484,Japan,JP,Gifu,,143641,143641
Ashikaga,36.3594,139.4531,Japan,JP,Tochigi,,142882,142882
Toda,35.8176,139.6779,Japan,JP,Saitama,,142352,142352
Tsuchiura,36.0816,140.2041,Japan,JP,Ibaraki,,142181,142181
Okinawa,26.3343,127.8057,Japan,JP,Okinawa,,142094,142094
Misato,35.8301,139.8723,Japan,JP,Chiba,,141913,141913
Moriguchi,34.7358,135.5617,Japan,JP,Ōsaka,,141849,141849
Fujita,34.8674,138.2577,Japan,JP,Shizuoka,,140947,140947
Fukayachō,36.1975,139.2815,Japan,JP,Saitama,,140930,140930
Kusatsu,35.0131,135.9600,Japan,JP,Shiga,,139913,139913
Minō,34.8269,135.4706,Japan,JP,Ōsaka,,139118,139118
Ishizaki,38.4342,141.3027,Japan,JP,Miyagi,,138856,138856
Kuwana,35.0622,136.6837,Japan,JP,Mie,,138798,138798
Koga,36.1782,139.7554,Japan,JP,Ibaraki,,138237,138237
Shūnan,34.0551,131.8062,Japan,JP,Yamaguchi,,137899,137899
Minoo,34.8269,135.4704,Japan,JP,Ōsaka,,136976,136976
Yaizu,34.8669,138.3233,Japan,JP,Shizuoka,,136028,136028
Kisarazu,35.3760,139.9169,Japan,JP,Chiba,,136023,136023
Ebina,35.4464,139.3908,Japan,JP,Kanagawa,,135557,135557
Inazawa,35.2481,136.7802,Japan,JP,Aichi,,134938,134938
Ōme,35.7902,139.2549,Japan,JP,Tōkyō,,131895,131895
Isahaya,32.8466,130.0373,Japan,JP,Nagasaki,,131467,131467
Zama,35.4886,139.4076,Japan,JP,Kanagawa,,130753,130753
Narita,35.7767,140.3183,Japan,JP,Chiba,,130689,130689
Abiko,35.8642,140.0284,Japan,JP,Chiba,,130290,130290
Onomichi,34.4091,133.2054,Japan,JP,Hiroshima,,130143,130143
Kokubunji,35.7103,139.4632,Japan,JP,Tōkyō,,129619,129619
Iwakuni,34.1647,132.1845,Japan,JP,Yamaguchi,,127512,127512
Seto,35.2240,137.0840,Japan,JP,Aichi,,127327,127327
Ōmiyachō,35.2221,138.6216,Japan,JP,Shizuoka,,127252,127252
Koganei,35.6995,139.5030,Japan,JP,Tōkyō,,127226,127226
Ōsaki,38.5771,140.9556,Japan,JP,Miyagi,,127135,127135
Iizuka,33.6136,130.6611,Japan,JP,Fukuoka,,126136,126136
Kirishima,31.7410,130.7632,Japan,JP,Kagoshima,,123812,123812
Ise,34.4875,136.7093,Japan,JP,Mie,,122432,122432
Uruma,26.3792,127.8574,Japan,JP,Okinawa,,122371,122371
Kashiwara,34.5094,135.7925,Japan,JP,Nara,,121604,121604
Tsuruoka,38.7272,139.8267,Japan,JP,Yamagata,,121371,121371
Honmachi,32.5074,130.6019,Japan,JP,Kumamoto,,120389,120389
Ebetsu,43.1037,141.5362,Japan,JP,Hokkaidō,,119819,119819
Daitōchō,34.7120,135.6234,Japan,JP,Ōsaka,,118812,118812
Kadoma,34.7391,135.5869,Japan,JP,Ōsaka,,118319,118319
Aizuwakamatsu,37.4948,139.9298,Japan,JP,Fukushima,,117924,117924
Matsubara,34.5779,135.5518,Japan,JP,Ōsaka,,117811,117811
Nobeoka,32.5823,131.6649,Japan,JP,Miyazaki,,117711,117711
Handa,34.8919,136.9381,Japan,JP,Aichi,,117544,117544
Kōnosu,36.0659,139.5222,Japan,JP,Saitama,,116777,116777
Ikoma,34.6919,135.7005,Japan,JP,Nara,,116518,116518
Honchō,35.7580,139.5299,Japan,JP,Saitama,,116477,116477
Karatsu,33.4501,129.9683,Japan,JP,Saga,,116052,116052
Nagahama,35.3814,136.2754,Japan,JP,Shiga,,116043,116043
Beppu,33.2846,131.4913,Japan,JP,Ōita,,115992,115992
Urasoe,26.2457,127.7219,Japan,JP,Okinawa,,115855,115855
Nasushiobara,36.9617,140.0461,Japan,JP,Tochigi,,115602,115602
Kōenchō,43.8031,143.8947,Japan,JP,Hokkaidō,,115441,115441
Niihama,33.9603,133.2834,Japan,JP,Ehime,,114971,114971
Hōfu,34.0466,131.5721,Japan,JP,Yamaguchi,,114846,114846
Sano,36.3144,139.5783,Japan,JP,Tochigi,,114842,114842
Hatsukaichi,34.3482,132.3316,Japan,JP,Hiroshima,,114699,114699
Kakegawa,34.7687,137.9984,Japan,JP,Shizuoka,,113954,113954
Fujimino,35.8795,139.5198,Japan,JP,Saitama,,113490,113490
Hikone,35.2744,136.2597,Japan,JP,Shiga,,113191,113191
Tōkai,35.0231,136.9022,Japan,JP,Aichi,,113144,113144
Kazo,36.1204,139.6002,Japan,JP,Saitama,,112792,112792
Ōshū,39.1297,141.0947,Japan,JP,Iwate,,112531,112531
Higashiōmi,35.1126,136.2075,Japan,JP,Shiga,,112459,112459
Akishima,35.7057,139.3535,Japan,JP,Tōkyō,,112110,112110
Fujimi,35.8566,139.5492,Japan,JP,Saitama,,111858,111858
Ichinoseki,38.9347,141.1266,Japan,JP,Iwate,,111824,111824
Kasuga,33.5242,130.4564,Japan,JP,Fukuoka,,111144,111144
Shirayamamachi,36.5144,136.5656,Japan,JP,Ishikawa,,110135,110135
Ōmuta,33.0303,130.4460,Japan,JP,Fukuoka,,110054,110054
Kamagaya,35.7768,140.0008,Japan,JP,Chiba,,109370,109370
Sandachō,34.8900,135.2254,Japan,JP,Hyōgo,,109243,109243
Marugame,34.2894,133.7976,Japan,JP,Kagawa,,109165,109165
Tondabayashichō,34.4996,135.5973,Japan,JP,Ōsaka,,108735,108735
Komatsu,36.4084,136.4456,Japan,JP,Ishikawa,,108509,108509
Habikino,34.5579,135.6063,Japan,JP,Ōsaka,,108370,108370
Mineshita,35.1394,138.9489,Japan,JP,Shizuoka,,107416,107416
Tajimi,35.3339,137.1125,Japan,JP,Gifu,,106746,106746
Saijō,33.9196,133.1812,Japan,JP,Ehime,,106016,106016
Kiryū,36.4053,139.3305,Japan,JP,Gunma,,105751,105751
Ikeda,34.8217,135.4285,Japan,JP,Hyōgo,,104148,104148
Toride,35.9115,140.0504,Japan,JP,Ibaraki,,103908,103908
Chikushino,33.4874,130.5258,Japan,JP,Fukuoka,,103185,103185
Inzai,35.8323,140.1457,Japan,JP,Chiba,,103084,103084
Hōyachō,35.7415,139.5589,Japan,JP,Tōkyō,,102720,102720
Otaru,43.1907,140.9944,Japan,JP,Hokkaidō,,102652,102652
Isehara,35.4029,139.3150,Japan,JP,Kanagawa,,102088,102088
Shibuya,35.6536,139.7092,Japan,JP,Tōkyō,,102056,102056
Ōnojō,33.5131,130.4792,Japan,JP,Fukuoka,,101603,101603
Sakado,35.9573,139.4030,Japan,JP,Saitama,,100829,100829
Kawachinagano,34.4581,135.5641,Japan,JP,Ōsaka,,100415,100415
Kani,35.4261,137.0613,Japan,JP,Gifu,,99545,99545
Ōmura,32.9006,129.9575,Japan,JP,Nagasaki,,99337,99337
Izumisano,34.4069,135.3275,Japan,JP,Ōsaka,,99328,99328
Ginowan,26.2815,127.7785,Japan,JP,Okinawa,,99256,99256
Sakata,38.9149,139.8367,Japan,JP,Yamagata,,99235,99235
Itoshima,33.5573,130.1955,Japan,JP,Fukuoka,,98527,98527
Chikusei,36.3071,139.9831,Japan,JP,Ibaraki,,98384,98384
Kanoya,31.3783,130.8522,Japan,JP,Kagoshima,,98367,98367
Saku,36.2488,138.4769,Japan,JP,Nagano,,98292,98292
Chitose,42.8210,141.6509,Japan,JP,Hokkaidō,,97945,97945
Tsuyama,35.0639,134.0043,Japan,JP,Okayama,,97507,97507
Kōnan,35.3321,136.8707,Japan,JP,Aichi,,97435,97435
Munakata,33.8055,130.5408,Japan,JP,Fukuoka,,97041,97041
Iida,35.5148,137.8218,Japan,JP,Nagano,,96642,96642
Kamisu,35.8899,140.6645,Japan,JP,Ibaraki,,95471,95471
Shimada,34.8363,138.1761,Japan,JP,Shizuoka,,95198,95198
Kanuma,36.5671,139.7451,Japan,JP,Tochigi,,94591,94591
Shibata,37.9479,139.3273,Japan,JP,Niigata,,94258,94258
Ashiya,34.7486,135.2975,Japan,JP,Hyōgo,,94116,94116
Azumino,36.3039,137.9056,Japan,JP,Nagano,,93927,93927
Sanjō,37.6368,138.9617,Japan,JP,Niigata,,93671,93671
Inagi,35.6379,139.5046,Japan,JP,Tōkyō,,93394,93394
Yashio,35.8225,139.8392,Japan,JP,Saitama,,93283,93283
Yotsukaidō,35.6698,140.1679,Japan,JP,Chiba,,93233,93233
Nisshin,35.1320,137.0394,Japan,JP,Aichi,,92823,92823
Hanamaki Onsen,39.3886,141.1169,Japan,JP,Iwate,,92815,92815
Kitakami,39.2867,141.1132,Japan,JP,Iwate,,92348,92348
Satsumasendai,31.8135,130.3040,Japan,JP,Kagoshima,,91875,91875
Higashi-Matsuyama,36.0422,139.3999,Japan,JP,Saitama,,91818,91818
Imizuchō,36.7306,137.0756,Japan,JP,Toyama,,90201,90201
Mihara,34.3974,133.0787,Japan,JP,Hiroshima,,89972,89972
Kōka,34.9028,136.2158,Japan,JP,Shiga,,89619,89619
Mobara,35.4285,140.2881,Japan,JP,Chiba,,88330,88330
Sakai,36.1669,136.2314,Japan,JP,Fukui,,87945,87945
Ama,35.2004,136.7832,Japan,JP,Aichi,,87668,87668
Takasagochō-takasemachi,34.7465,134.8021,Japan,JP,Hyōgo,,86888,86888
Fukuroi,34.7502,137.9247,Japan,JP,Shizuoka,,86851,86851
Gotenba,35.3087,138.9346,Japan,JP,Shizuoka,,86334,86334
Settsu,34.7773,135.5618,Japan,JP,Ōsaka,,86168,86168
Kitanagoya,35.2457,136.8660,Japan,JP,Aichi,,86060,86060
Kameoka,35.0135,135.5735,Japan,JP,Kyōto,,85962,85962
Iga,34.7499,136.1423,Japan,JP,Mie,,85883,85883
Sekimachi,35.4958,136.9179,Japan,JP,Gifu,,85636,85636
Takayama,36.1460,137.2522,Japan,JP,Gifu,,85199,85199
Yokotemachi,39.3137,140.5666,Japan,JP,Akita,,84556,84556
Ushiku,35.9794,140.1496,Japan,JP,Ibaraki,,84505,84505
Komae,35.6348,139.5787,Japan,JP,Tōkyō,,84437,84437
Kaizuka,34.4376,135.3585,Japan,JP,Ōsaka,,84356,84356
Higashiyamato,35.7454,139.4265,Japan,JP,Saitama,,84260,84260
Ayase,35.4371,139.4261,Japan,JP,Kanagawa,,84257,84257
Wakō,35.7812,139.6057,Japan,JP,Saitama,,84120,84120
Kitakōriyamachō,34.6493,135.7827,Japan,JP,Nara,,84007,84007
Chita,34.9966,136.8647,Japan,JP,Aichi,,83881,83881
Moriyama,35.0589,135.9942,Japan,JP,Shiga,,83567,83567
Nakatsu,33.5983,131.1883,Japan,JP,Fukuoka,,82714,82714
Owariasahi,35.2165,137.0354,Japan,JP,Aichi,,82336,82336
Shikokuchūō,33.9807,133.5492,Japan,JP,Ehime,,82320,82320
Muroran,42.3152,140.9740,Japan,JP,Hokkaidō,,81580,81580
Ōmihachiman,35.1283,136.0981,Japan,JP,Shiga,,81545,81545
Kashiwazaki,37.3649,138.5579,Japan,JP,Niigata,,81027,81027
Yonezawa,37.9222,140.1167,Japan,JP,Yamagata,,80795,80795
Nagaoka,34.9268,135.6958,Japan,JP,Kyōto,,80423,80423
Echizen,35.9035,136.1687,Japan,JP,Fukui,,80264,80264
Hannō,35.8556,139.3278,Japan,JP,Saitama,,80099,80099
Gamagōri,34.8264,137.2197,Japan,JP,Aichi,,80063,80063
Akiruno,35.7289,139.2941,Japan,JP,Tōkyō,,79600,79600
Iwamizawa,43.1962,141.7759,Japan,JP,Hokkaidō,,79361,79361
Natori-shi,38.1715,140.8918,Japan,JP,Miyagi,,79250,79250
Nakatsugawa,35.4875,137.5006,Japan,JP,Gifu,,78930,78930
Maizuru,35.4748,135.3860,Japan,JP,Kyōto,,78730,78730
Mooka,36.4404,140.0134,Japan,JP,Tochigi,,78665,78665
Gyōda,36.1389,139.4556,Japan,JP,Saitama,,78488,78488
Kashiba,34.5413,135.6990,Japan,JP,Nara,,78346,78346
Kizugawa,34.7371,135.8201,Japan,JP,Kyōto,,78035,78035
Aira,31.7282,130.6278,Japan,JP,Kagoshima,,77948,77948
Honjō,36.2433,139.1906,Japan,JP,Saitama,,77900,77900
Toyomamachi-teraike,38.6579,141.2764,Japan,JP,Miyagi,,77897,77897
Katano,34.7880,135.6800,Japan,JP,Ōsaka,,77401,77401
Tsubame,37.6669,138.9259,Japan,JP,Niigata,,77382,77382
Fukuchiyama,35.2967,135.1266,Japan,JP,Kyōto,,77150,77150
Nikkō,36.7198,139.6982,Japan,JP,Tochigi,,77027,77027
Nabari,34.6277,136.1083,Japan,JP,Mie,,77022,77022
Toyooka,35.5445,134.8202,Japan,JP,Hyōgo,,77005,77005
Shinkai,35.8234,139.5742,Japan,JP,Saitama,,76445,76445
Daisen,39.4531,140.4754,Japan,JP,Akita,,76164,76164
Ryūgasaki,35.9116,140.1823,Japan,JP,Ibaraki,,76055,76055
Kiyose,35.7857,139.5265,Japan,JP,Saitama,,75389,75389
Kai,35.6608,138.5158,Japan,JP,Yamanashi,,75337,75337
Kunitachi,35.6839,139.4414,Japan,JP,Tōkyō,,75133,75133
Warabi,35.8256,139.6797,Japan,JP,Saitama,,74996,74996
Amakusa,32.4587,130.1930,Japan,JP,Kumamoto,,74861,74861
Sasagawa,37.2869,140.3726,Japan,JP,Fukushima,,74778,74778
Tosu,33.3778,130.5061,Japan,JP,Saga,,74673,74673
Katori,35.8835,140.5238,Japan,JP,Chiba,,74469,74469
